ID;CODE;WALLET;SOURCE;
191;33fFBC;0xe3Ed82FCE86EF4e1A13b165907e72F3Fecd9ceac;Physical Sale;
192;6rZQAb;0x072f3c3C819aF09063e176f1cF57dBb55feB51Df;Physical Sale;
193;2V3Wye;0x34beaD844233F067F918Cc57C24B2BbD6d0F5dE0;Physical Sale;
194;6w1N1f;0x8920F00D2B0bE29131865636f1dfF41A09d6d219;Physical Sale;
195;4i2SVg;0xF983a2e59F9A1A271b6AeDcb076B6Fe278c90Aa7;Physical Sale;
196;5qFtts;0xF0Aa02c33881367837A3e03533073f4d165Fb8B5;Physical Sale;
197;2zhGcc;0x4CD1e9a786b6EA726293a1a6c6E1B24ed30d7720;Physical Sale;
198;6kdT3K;0xa863B8dB8F97E37416C52Af6f3B0eBFDbB86e2e8;Physical Sale;
199;6dDWdc;0x49a227018d8CfD07a6D67E01eF99F74cD7085b18;Physical Sale;
200;28Hh2w;0xf18dA0d65D59eA6FE0057cb866F2b1Ffd37462d5;Physical Sale;
201;3H18iU;0xBb1C43646A128c50dd2bF314F88A83DC1eB53c94;Physical Sale;
202;71TKrq;0x1B85235E2d4bFFe3e69Ccc7e1e33D432aAAb4f24;Physical Sale;
203;2EDeAN;0x35364bCF2e6E267b7C07DC288D4b0A0f2c35d40f;Physical Sale;
204;7U96w5;0xBf763f1e6Be8567164BF91638Fa734209a045d23;Physical Sale;
205;6YmYng;0xE00188B689ECb10cD93e060B285a2bE1d6A2F2b0;Physical Sale;
206;yPmLy;0x0Ba9Ab62a10ddC46d97C06a9C5BA140c89E1F641;Physical Sale;
207;7LjAXQ;0x017eD971997A6Cb197b329c68fc1bB90d93e0599;Physical Sale;
208;5bv1My;0x9F3415FFCF2b1a42fb2dd72a4232c19920164DC5;Physical Sale;
209;4CNgs2;0xa784f215243befe2680a087603624675bCd5760B;Physical Sale;
210;23qjC5;0x712519020d08D983414ba9cDC2885d5C322de4b3;Physical Sale;
211;5qFtu8;0xc0b69c9bD82fB8b5fef621b4e6ACE75916c5bFc3;Physical Sale;
212;72wK9M;0x99188fAAE7aB3D1DcD8d314E6F7C72D7B5f373Bc;Physical Sale;
213;3zWncL;0x464543C09FAE79C1eC6CC55b69de28070e99F34c;Physical Sale;
214;Mp4aq;0x3268BC88Cfcef3Cfb68eF2A595D2B3aC7e4b997e;Physical Sale;
215;7Ph96E;0x403E412851055D02b339C1E6E2D46bf981c3C5A1;Physical Sale;
216;6n7SKy;0xbf579Fc1cAe7790dB9aB5ED0d2F92de5eC0F2F82;Physical Sale;
217;3iCvWc;0x91B199d091B6C4edC783d97cBb2Fa0338d4Ab95F;Physical Sale;
218;7KFBFF;0x04BC2a743116A1B5B1AA9f089bd07188603a5717;Physical Sale;
219;4Athar;0x6d096F3E8f02377c3101A890Cc362E7e5534241A;Physical Sale;
220;3FX9ST;0x669f6E37Cc33e50Ca2Ab624758fEAF825eBfa889;Physical Sale;
221;4acW6Q;0x945845e03677AADa297b97751a70cBB0f493Cf0D;Physical Sale;
222;4qSNus;0x202C48Ea5e40cC0D3e8BE06b8AE047C673162e33;Physical Sale;
223;47vj2E;0xF7631347b89D4f30B726Dcab7F684638756aB387;Physical Sale;
224;mXs6X;0x1d30d2cf07d603B49fc8B100EA525Ac1C403cdaC;Physical Sale;
225;qypwa;0xD136c8cd5E64c838687136aF0Bb4aEE035C081B3;Physical Sale;
226;2P7Zrq;0x7B523EA317ec75015A10B33EFfA23473EBbAEC7a;Physical Sale;
227;6gBVCn;0x232d57f7FB18F9FeA69206F819E57A2574aEc5B6;Physical Sale;
228;44xkTd;0xBd7d7f371d36333f35d760D63922dfDB5E33079f;Physical Sale;
229;5gMyDN;0x5B9ec8A9d8E49Da1D62A46F0360EcF38E3a72FBd;Physical Sale;
230;7Sf7fB;0x53B0E8EeDd73e9E6d3b2C27c962a490B27869e1C;Physical Sale;
231;7HmBy8;0xfC110833264E27F94CdCC4cEE19E43ac218324Fb;Physical Sale;
232;LL5Jo;0x1471F58Dd2c773AAB565Ef41DD6e02473f6A84a8;Physical Sale;
233;4wNL3S;0x6b10588D31b5AB38b11BB361CEbCcC9b5Efa6B53;Physical Sale;
234;3FX9Sh;0x417780A4D50d938831bb9006642520676F500c4E;Physical Sale;
235;4nUQMQ;0x6592A1746543A5f4FCA73799F5a3A9b0d3C1742F;Physical Sale;
236;SG2SF;0x4CF4c93Bb07E5040d3EBEe66916a39D59CF30e93;Physical Sale;
237;2WXWGk;0x41Fa8C576700a21074e32c011e71C02eEfc3F698;Physical Sale;
238;3p8seM;0xeC03f5156fD9893892483B354BB439827796f4bC;Physical Sale;
239;4MGcZc;0x3b39E82587E4D5854C91C8D6f2c1AaBceE0ad3B8;Physical Sale;
240;o1rP9;0x2121b59cD3Be1A3547db05951EC371c73fCbF3B3;Physical Sale;
241;2HBcji;0x903D87ef596f79f0cD9b2e09a52cAF899123DB0E;Physical Sale;
242;4utLmF;0xf637A1C6DAA5ba217f4660aFE0Bda970c1E9aeB0;Physical Sale;
243;3zWncr;0x0ADCD5E0769739B095D45EE5Ac9f6D05c33489CC;Physical Sale;
244;4tQMUw;0x704D6610da48851fDfDAa238CEA16eF4e8a174dC;Physical Sale;
245;4MGcZi;0x036c70D3dAA4243308759B2eeb12B33EffddC488;Physical Sale;
246;2ZVUqb;0xA35281b3489Adc9081F1A84dE7FAB0D61EF17151;Physical Sale;
247;3fEwxS;0xdE467A1a3D3c9fB0276e2886D5DaC3a468Fd5809;Physical Sale;
248;49QiK1;0x9C238912BB765356F7367a99D88278b1A1EE571c;Physical Sale;
249;twoWg;0x7567f22bc480319b6fFc77Fe025E15DCE2cB6eA2;Physical Sale;
250;6KRfGM;0x68BF4997A1253dC74813E36a714EDc0cFAEbb803;Physical Sale;
251;8UB4N;0x40f1B9DA89302d6273740A0767d8a5E26DE51d17;Physical Sale;
252;4JJe19;0x54E8eD3bB87b2863455bBe0B21A30f112e3F368C;Physical Sale;
253;PJ3sr;0x06CD895B790A948625197E8bD20f878E4Cfc9eDe;Physical Sale;
254;5CCCsF;0x08362F4F7f12a8A285F454AAe37cf81D8eC9047a;Physical Sale;
255;5Q4782;0x744C8A235572a5Bb713703089fff88e164fa16e9;Physical Sale;
